blnid,flnid,bdid,fdid,bpid,fpid,bx,by,bh,fx,fy,fh,bx_1,by_1,bh_1,lcnt,lno,lanetype,limitvel,lanecfgfg,blid1,blid2,blid3,blid4,flid1,flid2,flid3,flid4
13901.0,13911.0,2798.0,2800.0,101925.0,103443.0,6845.430168206021,-8281.586005143083,-62.63305923220287,6847.368875428117,-8280.707747585995,-62.589992917184645,6845.6115289392455,-8281.503609502553,-62.63114623884212,0.0,0.0,0.0,25.0,0.0,13921.0,0.0,0.0,0.0,13830.0,14959.0,0.0,0.0
13912.0,13921.0,2796.0,2798.0,101937.0,101925.0,6843.727357730228,-8282.356901343273,-62.64123905046608,6845.430168206021,-8281.586005143083,-62.63305923220287,6843.909721621863,-8282.274469433192,-62.641327030247794,0.0,0.0,0.0,25.0,0.0,13974.0,15041.0,0.0,0.0,13901.0,0.0,0.0,0.0
13922.0,13974.0,1983.0,2796.0,99962.0,101937.0,6836.400090088574,-8289.5547020149,-62.65178455702471,6843.727357730228,-8282.356901343273,-62.64123905046608,6836.479602652427,-8289.371299221544,-62.64963013508077,0.0,0.0,2.0,25.0,0.0,9826.0,0.0,0.0,0.0,13912.0,0.0,0.0,0.0
13975.0,14024.0,1993.0,1725.0,99956.0,99266.0,6833.154443162223,-8280.779330821024,-62.631849913681435,6828.28245891673,-8272.324563720587,-62.59760657687502,6832.99134819685,-8280.664443257054,-62.63052534028793,0.0,0.0,2.0,25.0,0.0,9811.0,14066.0,0.0,0.0,8234.0,0.0,0.0,0.0
14025.0,14066.0,3042.0,1993.0,106765.0,99956.0,6841.087019740035,-8279.853722644773,-62.636141062148454,6833.154443162223,-8280.779330821024,-62.631849913681435,6840.905619669945,-8279.935135241922,-62.636052834685415,0.0,0.0,2.0,25.0,0.0,14154.0,14958.0,0.0,0.0,9757.0,13975.0,0.0,0.0
14067.0,14154.0,2816.0,3042.0,97352.0,106765.0,6855.659402309928,-8284.05911794245,-62.364268408943644,6841.087019740035,-8279.853722644773,-62.636141062148454,6855.583942797474,-8283.874598712553,-62.37194645439831,0.0,0.0,1.0,25.0,0.0,2655.0,0.0,0.0,0.0,14025.0,14897.0,0.0,0.0
14155.0,14196.0,2868.0,264.0,106808.0,94783.0,6846.785782190918,-8284.501303468545,-62.63631922295281,6853.369045829668,-8287.862861791347,-62.47077560052048,6846.978732475,-8284.449694487532,-62.63045885641941,0.0,0.0,2.0,25.0,0.0,14216.0,0.0,0.0,0.0,1665.0,0.0,0.0,0.0
14197.0,14216.0,2864.0,2868.0,101948.0,106808.0,6843.144000444688,-8286.137503506812,-62.65954943393126,6846.785782190918,-8284.501303468545,-62.63631922295281,6843.326385986661,-8286.055095049118,-62.65863740219038,0.0,0.0,0.0,25.0,0.0,15071.0,14268.0,0.0,0.0,14155.0,0.0,0.0,0.0
14217.0,14268.0,1980.0,2864.0,100013.0,101948.0,6835.082130556886,-8292.22865821428,-62.648866677449405,6843.144000444688,-8286.137503506812,-62.65954943393126,6835.201053340251,-8292.068457845346,-62.648784698506006,0.0,0.0,2.0,25.0,0.0,9876.0,0.0,0.0,0.0,14197.0,0.0,0.0,0.0
14269.0,14318.0,358.0,2694.0,97028.0,101836.0,6788.914681082835,-8314.8439483103,-62.62217936881734,6791.736333277344,-8306.521700794117,-62.62128163141824,6788.841199939212,-8314.658397328556,-62.62185804613455,0.0,0.0,2.0,25.0,0.0,1383.0,0.0,0.0,0.0,13496.0,0.0,0.0,0.0
14319.0,14364.0,2768.0,2899.0,103364.0,90119.0,6790.601609037706,-8303.392279322257,-62.62297806771858,6782.791200147647,-8301.734572494239,-62.57750248025059,6790.419224692259,-8303.473704134929,-62.62189054416376,0.0,0.0,2.0,25.0,0.0,13681.0,0.0,0.0,0.0,1156.0,0.0,0.0,0.0
14365.0,14404.0,402.0,2169.0,96953.0,100730.0,6770.195152729623,-8274.770576870396,-62.596905459572554,6773.279751611411,-8268.299716490877,-62.554743280361436,6770.143517171398,-8274.576642435619,-62.59759777122463,0.0,0.0,2.0,25.0,0.0,1304.0,0.0,0.0,0.0,11089.0,0.0,0.0,0.0
14405.0,14456.0,2316.0,417.0,102679.0,96949.0,6772.691661275628,-8264.898105417291,-62.53968740495384,6763.958124137831,-8261.418465090908,-62.55689293296609,6772.498780325332,-8264.952733478543,-62.5395538566313,0.0,0.0,2.0,25.0,0.0,11268.0,0.0,0.0,0.0,1079.0,0.0,0.0,0.0
14457.0,14507.0,2922.0,2932.0,96928.0,94383.0,6754.461732675779,-8241.052578323772,-62.473350502875746,6757.762393128408,-8232.738314913791,-62.44005186903496,6754.391205749061,-8240.864965997589,-62.47303218612387,0.0,0.0,2.0,25.0,0.0,1078.0,0.0,0.0,0.0,12756.0,0.0,0.0,0.0
14508.0,14555.0,27.0,2944.0,96829.0,96381.0,6752.8176624500375,-8237.52495364618,-62.47902987633188,6756.404617437038,-8229.760110073647,-62.40875065494947,6752.763031249438,-8237.332026959648,-62.480721605900726,0.0,0.0,2.0,25.0,0.0,968.0,0.0,0.0,0.0,13200.0,0.0,0.0,0.0
14556.0,14593.0,80.0,2954.0,96763.0,92089.0,6748.631502921559,-8193.151536543539,-62.40314936289178,6754.934503244324,-8195.604490941047,-62.430986044740166,6748.822329028827,-8193.093951557123,-62.40427681877327,0.0,0.0,2.0,25.0,0.0,850.0,0.0,0.0,0.0,7545.0,0.0,0.0,0.0
14594.0,14631.0,2955.0,93.0,102067.0,96759.0,6757.946068375586,-8194.212070204903,-62.43737626101074,6760.232032701785,-8187.746263910117,-62.42145078282874,6757.883521506847,-8194.022316947146,-62.437064975684734,0.0,0.0,2.0,25.0,0.0,6188.0,0.0,0.0,0.0,614.0,0.0,0.0,0.0
14632.0,14668.0,102.0,2972.0,96735.0,94204.0,6768.385175866924,-8183.947532593326,-62.436192426217985,6774.622339173918,-8186.24480815573,-62.416774248269576,6768.577030157864,-8183.890935094585,-62.435322917236135,0.0,0.0,2.0,25.0,0.0,577.0,0.0,0.0,0.0,8986.0,0.0,0.0,0.0
14669.0,14706.0,105.0,2981.0,96646.0,96202.0,6771.103272916457,-8182.681654655281,-62.40844329402216,6777.59780886528,-8184.897133602248,-62.368195117679534,6771.292968952195,-8182.616098932546,-62.40756003595334,0.0,0.0,2.0,25.0,0.0,570.0,0.0,0.0,0.0,10405.0,0.0,0.0,0.0
14707.0,14733.0,1070.0,2988.0,98459.0,94324.0,6806.054675354137,-8192.697290327558,-62.42854873058786,6804.463964158428,-8197.389639522928,-62.42591272358686,6806.098362626009,-8192.892392346286,-62.426847235572495,0.0,0.0,2.0,25.0,0.0,6036.0,0.0,0.0,0.0,11912.0,0.0,0.0,0.0
14734.0,14763.0,1072.0,2996.0,98372.0,96322.0,6807.094373059308,-8194.921845481429,-62.408530340725974,6805.8752445062055,-8200.285962760527,-62.38216010777796,6807.161904455839,-8195.110509703067,-62.409846043152356,0.0,0.0,2.0,25.0,0.0,5883.0,0.0,0.0,0.0,12355.0,0.0,0.0,0.0
14764.0,14790.0,2579.0,3004.0,106521.0,93402.0,6809.788307359195,-8208.302978793276,-62.4257006922594,6814.321050240715,-8210.386545857767,-62.40223498804062,6809.988105113818,-8208.297198720371,-62.42390642500459,0.0,0.0,2.0,25.0,0.0,12524.0,0.0,0.0,0.0,5652.0,0.0,0.0,0.0
14791.0,14819.0,1117.0,3012.0,98308.0,92345.0,6826.1354687896965,-8235.667832464103,-62.475625205686356,6824.633217790407,-8240.651391386633,-62.479488778963514,6826.194058583521,-8235.858651663553,-62.47493555254732,0.0,0.0,2.0,25.0,0.0,5651.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0
14820.0,14848.0,2227.0,1128.0,102534.0,98301.0,6825.967306495197,-8243.69899727099,-62.515874458172675,6830.790977553135,-8245.627107633689,-62.519541296153875,6826.162450703365,-8243.657314723721,-62.51502904497738,0.0,0.0,2.0,25.0,0.0,10822.0,0.0,0.0,0.0,5584.0,0.0,0.0,0.0
14849.0,14896.0,2227.0,3032.0,102534.0,96546.0,6825.967306495197,-8243.69899727099,-62.515874458172675,6834.093840461136,-8245.25985457522,-62.48860031120603,6826.148665964258,-8243.614597389342,-62.513958798483145,0.0,0.0,2.0,25.0,0.0,10822.0,0.0,0.0,0.0,1935.0,0.0,0.0,0.0
14897.0,14921.0,3042.0,1714.0,106765.0,99270.0,6841.087019740035,-8279.853722644773,-62.636141062148454,6836.460987814402,-8279.390343398096,-62.62557882252395,6840.897208297825,-8279.913300425007,-62.63601532596931,0.0,0.0,2.0,25.0,0.0,14154.0,14958.0,0.0,0.0,8272.0,0.0,0.0,0.0
14922.0,14958.0,1159.0,3042.0,98218.0,106765.0,6843.912858116895,-8273.707641654622,-62.58715392187605,6841.087019740035,-8279.853722644773,-62.636141062148454,6843.947546989346,-8273.90391763076,-62.58844706138689,0.0,0.0,2.0,25.0,0.0,5583.0,0.0,0.0,0.0,14025.0,14897.0,0.0,0.0
14959.0,15007.0,2800.0,598.0,103443.0,97341.0,6847.368875428117,-8280.707747585995,-62.589992917184645,6850.53529021551,-8272.690983556031,-62.496934041510485,6847.545021266045,-8280.612466349174,-62.58605757530813,0.0,0.0,1.0,25.0,0.0,13911.0,0.0,0.0,0.0,2302.0,0.0,0.0,0.0
15008.0,15041.0,1705.0,2796.0,99291.0,101937.0,6839.9137447404855,-8287.43511903327,-62.64678094140709,6843.727357730228,-8282.356901343273,-62.64123905046608,6839.947025613561,-8287.238533987369,-62.6465598569298,0.0,0.0,2.0,25.0,0.0,8351.0,0.0,0.0,0.0,13912.0,0.0,0.0,0.0
15042.0,15071.0,1702.0,2864.0,99337.0,101948.0,6839.525912452695,-8290.399361242828,-62.64023754127493,6843.144000444688,-8286.137503506812,-62.65954943393126,6839.589313313946,-8290.209217551082,-62.641057060472576,0.0,0.0,2.0,25.0,0.0,8466.0,0.0,0.0,0.0,14197.0,0.0,0.0,0.0
