bwlid,fwlid,blid,flid,blnid,flnid,bpid,fpid,bx,by,bh,fx,fy,fh,width,color,type
2796.0,2957.0,12661.0,12822.0,1533.0,1531.0,12723.0,12885.0,6809.886791530801,-8325.31363195901,-62.67225353852109,6790.827186707107,-8315.227608257626,-62.65071709287895,0.1,87.0,0.0
2958.0,3135.0,12823.0,13000.0,3199.0,3133.0,12886.0,13064.0,6765.658453848547,-8276.652722649424,-62.53554869327991,6778.379082843268,-8303.921078032115,-62.64367557871901,0.1,87.0,0.0
3136.0,3234.0,13001.0,13099.0,18700.0,7814.0,13065.0,13164.0,6794.79578180575,-8196.715625918332,-62.4327402164995,6787.276212324868,-8180.510674764002,-62.469825103300536,0.15,87.0,0.0
3235.0,3265.0,13100.0,13130.0,7607.0,18975.0,13165.0,13196.0,6757.380799746293,-8208.049577575257,-62.4776626959806,6759.536639441784,-8212.634090524542,-62.52187810906116,0.15,87.0,0.0
3266.0,3295.0,13131.0,13160.0,14808.0,17467.0,13197.0,13227.0,6823.566829045713,-8237.753598628276,-62.49558565266307,6819.008274303726,-8239.961960534789,-62.48958031163784,0.15,87.0,0.0
3296.0,3335.0,13161.0,13200.0,14591.0,7577.0,13228.0,13268.0,6752.107525952545,-8196.714457629323,-62.44742801154234,6754.938020818089,-8202.722733051069,-62.47618794982009,0.15,87.0,0.0
3336.0,3441.0,13201.0,13306.0,14662.0,18397.0,13269.0,13375.0,6772.802762188237,-8186.233195198904,-62.44582787352965,6780.507886178432,-8202.686434024048,-62.47825876723755,0.15,87.0,0.0
3442.0,3581.0,13307.0,13446.0,18120.0,8865.0,13376.0,13516.0,6789.935584802351,-8222.852754116528,-62.510385025039795,6799.821363946419,-8243.934061683764,-62.54926614020951,0.15,87.0,0.0
3582.0,3705.0,13447.0,13570.0,8268.0,8233.0,13517.0,13641.0,6830.067954847018,-8272.333770921468,-62.62852940131961,6821.2479269759215,-8253.483499758042,-62.59054782109206,0.15,87.0,0.0
3706.0,3800.0,13571.0,13665.0,15211.0,6717.0,13642.0,13737.0,6819.272256819947,-8318.274806508385,-62.687044555054854,6812.5532107772015,-8303.908157137275,-62.662050130959415,0.15,87.0,0.0
3801.0,3844.0,13666.0,13709.0,13682.0,13680.0,13738.0,13782.0,6795.783820350658,-8297.526504855581,-62.61482131938328,6789.2781429907345,-8300.647260121024,-62.67297836403759,0.15,87.0,0.0
3845.0,4025.0,13710.0,13890.0,14359.0,14369.0,13783.0,13964.0,6785.723829497099,-8300.81951697136,-62.56142306151287,6773.008428909531,-8273.518836664027,-62.61625849699203,0.15,87.0,0.0
